class,type,optional,name,showif,label,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10,choice11,choice12,value
,mc,,BDI2_13,,Indecisiveness,I make decisions about as well as ever,I find it more difficult to make decisions than usual,I have much greater difficulty in making decisions than I used to,I have trouble making any decisions,,,,,,,,,
,mc,,BDI2_14,,Worthlessness,I do not feel I am worthless,I don't consider myself as worthwhile and useful as I used to,I feel more worthless as compared to others,I feel utterly worthless,,,,,,,,,
,mc,,BDI2_15,,Loss of Energy,I have as much energy as ever,I have less energy than I used to have,I don't have enough energy to do very much,I don't have enough energy to do anything,,,,,,,,,
,mc,,BDI2_16,,Changes in Sleeping Pattern,I have not experienced any change in my sleeping,I sleep somewhat more than usual OR I sleep somewhat less than usual,I sleep a lot more than usual OR I sleep a lot less than usual,I sleep most of the day OR I wake up 1-2 hours early and can't get back to sleep,,,,,,,,,
,mc,,BDI2_17,,Irritability,I am not more irritable than usual,I am more irritable than usual,I am much more irritable than usual,I am irritable all the time,,,,,,,,,
,mc,,BDI2_18,,Changes in Appetite,I have not experienced any change in my appetite,My appetite is somewhat less than usual OR My appetite is somewhat greater than usual,My appetite is much less than before OR My appetite is much greater than usual,I have no appetite at all OR I crave food all the time,,,,,,,,,
,mc,,BDI2_19,,Concentration Difficulty,I can concentrate as well as ever,I can't concentrate as well as usua,It's hard to keep my mind on anything for very long,I find I can't concentrate on anything,,,,,,,,,
,mc,,BDI2_20,,Tiredness or Fatigue,I am no more tired or fatigued than usual,I get more tired or fatigued more easily than usual,I am too tired or fatigued to do a lot of the things I used to do,I am too tired or fatigued to do most of the things I used to do,,,,,,,,,
,mc,,BDI2_21,,Loss of Interest in Sex,I have not noticed any recent change in my interest in sex,I am less interested in sex than I used to be,I am much less interested in sex now,I have lost interest in sex completely,,,,,,,,,
,note,,reread,,"
**Check that you have answered everything before submitting.**",,,,,,,,,,,,,
,submit,,submit1,,Proceed to the next step,,,,,,,,,,,,,
,note,,QuestionSTAI_T,,**Questionnaire 3 : A number of statements which people have used to describe themselves are given below. Read each statement and then choose the appropriate answer to indicate how you generally feel. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe how you generally feel.**,,,,,,,,,,,,,
,mc,,STAI_1,,I feel pleasant,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_2,,I feel nervous and restless,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_3,,I feel satisfied with myself,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_4,,I wish I could be as happy as others seem to be,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_5,,I feel like a failure,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_6,,I feel rested,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_7,,"I am ""calm, cool, and collected""",Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_8,,I feel that difficulties are piling up so that I cannot overcome them,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_9,,I worry too much ovver something that really doesn't matter,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_10,,I am happy,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_11,,I have disturbing thoughts,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_12,,I lack self-confidence,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_13,,I feel secure,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_14,,I make decisions easily,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_15,,I feel inadequate,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_16,,I am content,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_17,,Some unimportant thought runs through my mind and bothers me,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_18,,I take disappointments so keenly that I can't put them out of my mind,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_19,,I am a steady person,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,STAI_20,,I get in a state of tension or turmoil as I think over my recent concerns and interests,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,note,,reread2,,"
**Check that you have answered everything before submitting.**",,,,,,,,,,,,,
,submit,,submit2,,Proceed to the last questionnaire,,,,,,,,,,,,,
,note,,QuestionRRS,,"**Questionnaire 4 : People think and do many different things when they feel depressed. Please read each of the items below and indicate whether you almost never, sometimes, often, or almost always think or do each one when you feel down, sad, or depressed. Please indicate what you generally do, not what you think you should do.**",,,,,,,,,,,,,
,mc,,RRS_1,,Think about how alone you feel,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_2,,"Think ""I won't be able to do my job if I don't snap out of this""",Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_3,,Think about how hard it is to concentrate,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_4,,Think about your feelings of fatigue and achiness,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_5,,"Think ""What am I doing to deserve this?""",Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_6,,Think about how passive and unmotivated you feel,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_7,,Analyze recent events to try to understand why you are depressed,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_8,,Think about how you don't seem to feel anything anymore,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_9,,"Think ""Why can't I get going?""",Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_10,,"Think ""Why do I always react this way?""",Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_11,,Go away by yourself and think about why you feel this way,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_12,,Write down what you are thinking about and analyze it,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_13,,"Think about a recent situation, wishing it had gone better",Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_14,,"Think ""I won't be able to concentrate if I keep feeling this way""",Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_15,,"Think ""Why do I have problems that other people don't have?""",Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_16,,"Think ""Why can't I handle things better?""",Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_17,,Think about how sad you feel,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_18,,"Think about all your shortcomings, failings, faults, mistakes",Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_19,,Think about how you don't feel up to doing anything,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_20,,Analyze your personality to try to understand why you are depressed,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_21,,Go someplace alone to think about your feelings,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,mc,,RRS_22,,Think about how angry you are with yourself,Almost never,Sometimes,Often,Almost always,,,,,,,,,
,note,,reread3,,"
**Check that you have answered everything before submitting.**",,,,,,,,,,,,,
,submit,,submit3,,Submit,,,,,,,,,,,,,
